,companyname,year,country,bvdidnumber,dbdunsnumber,countryisocode,tfp_available
1041,GENERALI CORPORATE COMPAÑIA ARGENTINA DE SEGUROS SA,2001,Argentina,AR203473,971450382,AR,0
5455,ALUAR ALUMINIO ARGENTINO S.A. INDUSTRIAL Y COMMERCIAL,2001,Argentina,AR30020LA,970206082,AR,1
5456,CELULOSA ARGENTINA S.A.,2001,Argentina,AR30026LA,970000246,AR,1
5459,NOBLEZA PICCARDO S.A.I.C. Y F.,2001,Argentina,AR30037LA,971060553,AR,1
5463,LONGVIE S.A.,2001,Argentina,AR30048LA,970000022,AR,1
5890,BANCO DE LA EDIFICADORA DE OLAVARRIA SA,2001,Argentina,AR37961,NA,AR,0
5891,BANCO PATAGONIA SA (OLD),2001,Argentina,AR38526,971418249,AR,0
5892,BANCO DE GALICIA Y BUENOS AIRES SA,2001,Argentina,AR42250,970188413,AR,0
5997,WIENER SPAR-UND KREDIT INSTITUT RGMBH,2001,Austria,AT16115,NA,AT,0
6002,BAWAG WOHNBAUBANK,2001,Austria,AT16607,NA,AT,0
6012,VAKIFBANK INTERNATIONAL AG,2001,Austria,AT17303,NA,AT,0
6024,ALLGEMEINE BAUSPARKASSE RGMBH,2001,Austria,AT17304,NA,AT,0
6036,BAUSPARKASSE DER OESTERREICHISCHEN SPARKASSEN AG,2001,Austria,AT17492,NA,AT,0
6049,KOMMUNALKREDIT DEPOTBANK AG.,2001,Austria,AT18425,NA,AT,0
6052,VB FACTORING BANK AG,2001,Austria,AT18564,NA,AT,0
6057,RAIFFEISEN BAUSPARKASSE GMBH,2001,Austria,AT18572,NA,AT,0
6077,EUROPEAN AMERICAN INVESTMENT BANK,2001,Austria,AT19233,NA,AT,0
6088,NIEDERÖSTERREICHISCHE KAPITALBETEILIGUNGS GMBH,2001,Austria,AT19507,NA,AT,0
6091,OBERÖSTERREICHISCHE KREDITGARANTIEGESELLSCHAFT MBH,2001,Austria,AT19508,NA,AT,0
6096,LBA LANDESBAUSPARKASSE AG,2001,Austria,AT19560,NA,AT,0
6099,RAIFFEISENBANK LEIBNITZ RGMBH,2001,Austria,AT19561,NA,AT,0
6106,RAIFFEISENBANK LIGIST- ST JOHANN RGMBH,2001,Austria,AT19562,NA,AT,0
6107,SPARDA-BANK LINZ RGMBH,2001,Austria,AT19563,NA,AT,0
6112,SPARDA BANK AG,2001,Austria,AT19564,NA,AT,0
6121,ALLIANZ INVESTMENTBANK AG,2001,Austria,AT19591,NA,AT,0
6133,VOLKSBANK NIEDEROSTERREICH-MITTE RGMBH,2001,Austria,AT19729,NA,AT,0
6144,GENERALI BANK AG,2001,Austria,AT19912,NA,AT,0
6152,M & A PRIVATBANK AG,2001,Austria,AT19925,NA,AT,0
6157,BANK AUSTRIA CREDITANSTALT VERSICHERUNG AG,2001,Austria,AT200909,NA,AT,0
6162,UNION VERSICHERUNG AG,2001,Austria,AT201111,NA,AT,0
6171,ARAG ÖSTERREICH ALLGEMEINE RECHTSSCHUTZ VERSICHERUNGS AG,2001,Austria,AT201179,NA,AT,0
6174,VORARLBERGER LANDES-VERSICHERUNG VAG,2001,Austria,AT201781,NA,AT,0
6187,ÖSTERREICHISCHE BEAMTENVERSICHERUNG VERSICHERUNGSVEREIN AUF GEGENSEITIGKEIT,2001,Austria,AT202393,NA,AT,0
6200,KARNTNER LANDESVERSICHERUNG AG,2001,Austria,AT203381,NA,AT,0
6205,WÜSTENROT VERSICHERUNGS-AG,2001,Austria,AT204039,NA,AT,0
6350,VTB BANK (AUSTRIA) AG,2001,Austria,AT31036,NA,AT,0
6355,RAIFFEISEN CENTROBANK AG,2001,Austria,AT32065,NA,AT,0
6360,SALZBURGER SPARKASSE BANK AG,2001,Austria,AT32066,NA,AT,0
6365,VOLKSKREDITBANK AG,2001,Austria,AT32068,NA,AT,0
6370,RAIFFEISENLANDESBANK VORARLBERG WAREN-UND REVISIONS VERBAND GMBH,2001,Austria,AT32673,NA,AT,0
6375,ANGLO IRISH BANK (AUSTRIA) A.G.,2001,Austria,AT32685,NA,AT,0
6380,OESTERREICHISCHE NATIONAL BANK,2001,Austria,AT33361,NA,AT,0
6393,CAPITAL BANK INTERNATIONAL-GRAWE GROUP AG,2001,Austria,AT33507,NA,AT,0
6417,RAIFFEISENLANDESBANK OBERÖSTERREICH AG,2001,Austria,AT34513,NA,AT,0
6422,RAIFFEISENLANDESBANK KAERNTEN - RECHENZENTRUM UND REVISIONSVERBAND RGMBH,2001,Austria,AT35759,NA,AT,0
6427,BANKHAUS KRENTSCHKER & CO.,2001,Austria,AT35866,NA,AT,0
6432,BANKHAUS SCHELHAMMER & SCHATTERA AG,2001,Austria,AT37046,NA,AT,0
6446,ALPENBANK AKTIENGESELLSCHAFT,2001,Austria,AT37600,NA,AT,0
6451,KOMMUNALKREDIT AUSTRIA AG,2001,Austria,AT37739,NA,AT,0
6457,CAPITAL BANK - GRAWE GRUPPE AG,2001,Austria,AT38384,NA,AT,0
6462,PRIVATINVEST BANK AG,2001,Austria,AT38589,NA,AT,0
6584,VOLKSBANK GRAZ-BRUCK REG. GEN.M.B.H.,2001,Austria,AT42319,NA,AT,0
6592,BAUSPARKASSE WUESTENROT,2001,Austria,AT42637,NA,AT,0
6613,BANK FÜR ARBEIT UND WIRTSCHAFT UND ÖSTERREICHISCHE POSTSPARKASSE AKTIENGESELLSCHAFT,2001,Austria,AT43719,NA,AT,0
6620,LANDES HYPOTHEKENBANK STEIERMARK AG,2001,Austria,AT43888,NA,AT,0
6633,RAIFFEISEN-LANDESBANK TIROL AG,2001,Austria,AT43889,NA,AT,0
6638,STEIERMÄRKISCHE BANK UND SPARKASSEN AG,2001,Austria,AT43890,NA,AT,0
6643,TIROLER SPARKASSE - BANKAKTIENGESELLSCHAFT INNSBRUCK,2001,Austria,AT43891,NA,AT,0
6648,DORNBIRNER SPARKASSE BANK AG,2001,Austria,AT43944,NA,AT,0
6662,SALZBURGER LANDES-HYPOTHEKENBANK,2001,Austria,AT43948,NA,AT,0
6675,ALLGEMEINE SPARKASSE OBERÖSTERREICH BANK AG,2001,Austria,AT44015,NA,AT,0
6680,OESTERREICHISCHE VERKEHRSKREDITBANK,2001,Austria,AT44023,NA,AT,0
6692,MEINL BANK AG,2001,Austria,AT44095,NA,AT,0
6702,RAIFFEISEN ZENTRALBANK OESTERREICH AG - RZB,2001,Austria,AT44096,NA,AT,0
6707,BANKHAUS CARL SPAENGLER & CO.,2001,Austria,AT44314,NA,AT,0
6714,CONSTANTIA PRIVATBANK AG,2001,Austria,AT44479,NA,AT,0
6719,OESTERREICHISCHE VOLKSBANKEN AG,2001,Austria,AT44482,NA,AT,0
6724,BANCO DO BRASIL AG,2001,Austria,AT44715,NA,AT,0
6729,BANK VONTOBEL OESTERREICH AG,2001,Austria,AT44735,NA,AT,0
6736,INVESTKREDIT BANK AG,2001,Austria,AT44749,NA,AT,0
6757,RAIFFEISENLANDESBANK BURGENLAND,2001,Austria,AT44777,NA,AT,0
6763,HYPO ALPE-ADRIA BANK INTERNATIONAL AG,2001,Austria,AT45364,NA,AT,0
